question,answer,keywords
"Amongst the following, KCN, K2SO4 , (NH4 )2C2O4 NaCl, Zn(NO3 )2 , FeCl3 , K2CO3 , NH4NO3 , LiCN The total number of compounds whose aqueous solution turns red litmus paper blue is.","Basic salt solutions will have a pH > 7. These will change the colour of litmus paper from red to blue. Here KCN, K2CO3 and LiCN are the only basic salts. So, the answer will be 3",compound ph
Match the reactions in Column I with the nature of the reactions/type of the products listed in Column II. Column I Column II (A) O - 2 O2 + O 2- 2→ (p) redox reaction (B) CrO 2- 4 + H + → (q) one of the products has a trigonal planar structure (C) Mn - 4 + NO - 2 + H + → (r) dimeric bridged tetrahedral metal ion (D) NO - 3 + H2SO4 + Fe 2+ → (s) disproportionation,"A disproportionation reaction is a type of reaction in which the same molecule is oxidised or reduced. Whereas, the reactions in which oxidation and reduction take place simultaneously are called redox reactions.",molecule oxidation reduction reaction proportion
"The pair of compounds having metals in their highest oxidation state is: A. MnO2 , FeCl3 B. [MnO4 ] - , CrO2Cl2 C. [Fe(CN)6 ] 3- , [Co(CN)3 ] D. [NiC14 ] 2- , [CoC14 ] -",a. The oxidation state of Mn in MnO2 is +4 The oxidation state of Fe in FeCl3 is +3 b) The oxidation state of Mn in [MnO4 ] - is +7 The oxidation state of Cr in CrO2Cl2 is +6 c) The oxidation state of Fe in [Fe(CN)6 ] 3- is +3 The oxidation state of Co in [Co(CN)3 ] is +3 d) The oxidation state of Ni in [NiC14 ] 2- is +2 The oxidation state of Co in [CoC14 ] - is +3,compound oxidation
For the reaction: I - + ClO -3 + H2SO4 → Cl - + HSO4 - + I2 The correct statement(s) in the balanced equation is/are: A. Stoichiometric coefficient HSO4 - of is 6 B. Iodide is oxidized C. Sulphur is reduced D. H2O is one of the products,"The balanced equation is: 6I - + ClO -3 + 6H2SO4 → Cl - + 6HSO4 - + 3I2 + 3H2O Here you will see that iodine is oxidised and the stoichiometric coefficient of HSO4 - is 6. Additionally, water is formed on the product side.",ph equation reaction
"Which ordering of compounds is according to the decreasing order of the oxidation state of nitrogen? A. HNO3 , NO, NH4Cl, N2 B. HNO3 , NO, N2 , NH4Cl C. HNO3 , NH4Cl, NO, N2 D. NO, HNO3 , NH4Cl, N","Let the oxidation state of nitrogen = x HNO3 : (+1) + X + 2(-3), x = +5 NO: x + (-2), x = +2 Nh4CI: X + 4(+1) + (-1), X = -3N2 : 2x = 0, x = 0 So the correct order will be HNO3 , NO, N2 , NH4Cl",compound oxidation
"Oxidation number of sulphur in S2 , S2F2 and H2S are: (A) +2, 0, +2, (B) -2, 0, +2 (C) 0, +1, -2 (D) 0, +1, +2","Since S8 contains only one type of atom, so the oxidation number is 0. Therefore its oxidation state is 0. In, S2F2 , oxydation number of Fluorine is -1. Thus, 2S + 2F = 0 2S + 2(-1) = 0 2S -2 = 0 2S = +2 S = +1 Hence, the oxidation state of Sulphur in S2F2 is +1. In H2S, the oxidation number of hydrogen is 1. Thus, 2(H) + S = 0 2(1) + S = 0 2 + S = 0 S = -2 Hence, the oxidation state of Sulphur in H2S is -2.",oxidation hydrogen ph atom
Consider a titration of potassium dichromate solution with acidified Mohr's salt solution using diphenylamine as an indicator. The number of moles of Mohr's salt required per mole of dichromate is: A. 3 B. 4 C. 5 D. 6,The redox reaction between potassium dichromate and Mohr's salt is: 6Fe 2+ + Cr2O7 2- + 14H + → 6Fe 3+ + 2Cr 3+ + 7H2O Mohr’s salt: Fe2SO4 .(NH4 )2SO4 .6H2O Dichromate will oxidise Fe 2+ from Mohr's salt to Fe 3+ .,acid ratio ph titration reaction
Among the following identify the species with an atom in a +6 oxidation state. A. MnO4 -B. Cr(CN)6 3- C. NiF6 2- D. CrO2Cl2,"In MnO4 - ,Mn is in a +7 oxidation state as the oxidation state of oxygen is -2. In Cr(CN)6 3- , Cr is in a +3 oxidation state as the oxidation state of cyanide is -1. In NiF6 2- , Ni is in a +4 oxidation state as the oxidation state of fluorine is -1. What will be the oxidation number of Cr in CrO2Cl2? We apply the rules for assigning oxidation numbers: x − 4 − 2 = 0 Solving, x = +6 In CrO2Cl2 , Cr is in +6 oxidation state as the oxidation state of oxygen is -2 and the oxidation state of chlorine is -1.",oxidation atom
"To measure the quantity of MnCl2 dissolved in an aqueous solution, it was completely converted to KMnO4 using the reaction, MnCl2 + K2S2O8 + H2O → KMnO4 + H2SO4 + HCl (equation not balanced). Few drops of concentrated HCl were added to this solution and gently warmed. Further, oxalic acid (225 g) was added in portions till the colour of the permanganate ion disappeared. The quantity of MnCl2 (in mg) present in the initial solution is _____. (Atomic weights in g mol–1 : Mn = 55, Cl = 35.5)",meq of C2O4 2- = meq of MnO4 -2 × 225 / 90 = a × 5 ⇒ a = 1 w = 1 × [55+71] = 126 mg,acid equation reaction atom
The difference in the oxidation numbers of the two types of sulphur atoms in Na2S4O6 is:,"The oxidation number of sulphur atom involved in coordinate bond formation is (+5) and that of the middle sulphur atom is zero. Hence, the difference in oxidation number of the two types of sulphur atoms will be (+5). ∴ The difference in the O.S of the two types of sulphur atoms is 5 - 0 = 5.",oxidation bond ph atom
(NH4 )2Cr2O7 on heating gives a gas which is also given by: A. Heating NH4NO2 B. Heating NH4NO3 C. Mg3N2 + H2O D. Na(comp.) + H2O2,Ammonium dichromate on heating gives N2 gas. This gas is also obtained by heating NH4NO2 .,thermodynamics heat
The reaction 3ClO - (aq) → ClO3 - (aq) + 2Cl - (aq) is an example of: A. Oxidation B. Reduction C. Disproportionation D. Decomposition reaction,"In this reaction, chlorine is oxidized as well as reduced. ClO - is oxidised to ClO3 - ; ClO - is also reduced to Cl - . The oxidation states of chlorine in ClO(aq) - , ClO 3(aq) - and Cl(aq) - are +1,+5 and −1 respectively",oxidation reduction reaction proportion
"Calamine, malachite, magnetite and cryolite, respectively are: A. ZnSO4 , CuCO3 , Fe2O3 , AlF3 B. ZnSO4 , Cu(OH)2 , Fe3O4 , Na3AlF6 C. ZnCO3 , CuCO3•Cu(OH)2 , Fe3O4 , Na3AlF6 D. ZnCO3 , CuCO3 , Fe2O3 , Na3AlF6","Calamine is an ore of zinc, malachite is an ore of copper, magnetite is an ore of iron and cryolite is an ore of aluminium. Calamine - ZnCO3 Malachite - CuCO3•Cu(OH)2 Magnetite - Fe3O4 Cryolite - Na3AlF6",physics chemistry problem solving
"Galena (an ore) is partially oxidized by passing air through it at high temperatures. After some time, the passage of air is stopped, but the heating is continued in a closed furnace such that the contents undergo self-reduction. The weight (in kg) of Pb produced per kg of O2 consumed is ______. (Atomic weights in g mol -1 : O = 16, S = 32, Pb = 207)",The reaction can be as follows: PbS + O2 → Pb + SO2 Moles of PB = Moles of O2 = 1000 / 32 mol ∴ Mass of Pb = 1000 / 32 × 207 g = 207 / 32 kg = 6.47 kg,thermodynamics heat reduction reaction atom temperature mass
Which among the following statement(s) is(are) true for the extraction of aluminium from bauxite? A. Hydrated Al2O3 precipitates when CO2 is bubbled through a solution of sodium aluminate. B. Addition of Na3AlF6 lowers the melting point of alumina. C. CO2 is evolved at the anode during electrolysis. D. The cathode is a steel vessel with a lining of carbon.,"A) Extraction of aluminium (Hall’s process and Hall Heroult’s electrolytic cell): The process involved in the extraction of aluminium is Hall Heroult’s process. During the process, Al2O3 is obtained as a precipitate. When CO3 is bubbled through a solution of sodium aluminate. The reaction is given as:2Na[Al(OH)4 ](aq.) + CO2 → Na2CO3 + H2O + 2Al(OH)3 (↓) or Al2O3 .2H2O (ppt) B) Electrolytic reduction of pure alumina takes place in a steel box with a lining of carbon (cathode) with cryolite (Na3AlF6 ) and fluorspar (CaF2 ) which lowers the melting point and increases the conductivity of the electrolyte. C) Electrolysis process in Hall’s process: Graphite rods acts as anode: At cathode: Al +3 + 3e - → Al At anode: The oxygen liberated at the anode reacts with the carbon of the anode to produce CO and CO2 . C + O 2- → CO + 2e - C + 2O 2- → CO2 + 4e - D) Here the cathode is a steel vessel with a lining of carbon.",carbon ph graph reduction reaction
"The cyanide process of gold extraction involves leaching out gold from its ore with CN– in the presence of Q in water to form R. Subsequently, R is treated with T to obtain Au and Z. Choose the correct option(s) A. Q is O2 B. R is [Au(CN)4 ] - C. Z is [Zn(CN)4 ] 2- D. T is Zn",Extraction of gold is usually done by leaching with dil. solution of NaCN in the presence of air (O2 ),physics chemistry problem solving
Extraction of copper from copper pyrite CuFeS2 involves A. Crushing followed by concentration of the ore by froth-floatation B. Removal of Iron as slag C. Self-reduction step to produce 'blister copper' following the evolution of SO2 D. Refining of 'blister copper' by carbon reduction,"The correct option is C - Self-reduction step to produce 'blister copper' following the evolution of SO22 First, the ore is ground into a fine powder through crushing and grinding. Since the ore is a sulphide ore, it is concentrated using froth-floatation. Eventually, the iron in CuFeS2 is removed as FeSiO3 - as slag. The mixture of Cu2S and Cu2O undergoes self-reduction to yield blister copper (there are blisters because of the evolution of SO2 and other gases). It is then refined electrolytically to get very pure metallic copper.",carbon ratio ph concentration reduction
"Match the anionic species given in Column-I that are present in the ore(s) given in Column-II: Column-I Column-II A Carbonate P SideriteB Sulphide Q Malachite C Hydroxide R Bauxite D Oxide S Calamine T Argentite A. A → P, Q, S; B → T; C → Q, R; D → R (P) B. A → Q, S; B → S; C → Q; D → P C. A → P, S; B → Q; C → Q, T; D → P D. A → P, Q; B → R; C → Q, R; D → T","A → P, Q, S; B → T; C → Q, R; D → R (P) Siderite – FeCO3 (Q) Malachite – CuCO3 .Cu(OH)2 (R) Bauxite – AlOx(OH)3 - 2x (S) Calamine – ZnCO3 (T) Argentite – Ag2S",ph carbon ionic
Copper is purified by electrolytic refining of blister copper. The correct statement(s) about this process is (are) – A. Impure Cu strip is used as cathode B. Acidified aqueous CuSO4 is used as an electrolyte C. Pure Cu deposits at the cathode D. Impurities settle as anode-mud,"During purification of copper by electrolytic refining of blister copper, (B) The electrolyte used is acidified aqueous copper sulphate solution. Hence, option (B) is correct. (C) Pure Cu transfers from anode to cathode and deposits at the cathode. Hence, option (C) is correct. (D) Impurities like Fe, Zn, Ni, Co etc. dissolve in the solution as sulphates and others like Au and Ag settle as anode-mud. Hence, option (D) is correct.",ph acid
"Upon heating with Cu2S, the reagent(s) that give copper metal is/are: A. CuFeS2 B. CuO C. Cu2O D. CuSO4","(B, C and D)",thermodynamics heat
"Sulfide ores are common for metals. A. Ag, Cu and Pb B. Ag, Cu and Sn C. Ag, Mg and Pb D. Al, Cu and Pb","Sulphide ores of Ag, Pb and Cu are, respectively, Argentite (Ag2S), Galena (PbS) and Copper glance (Cu2S).",ph
The carbon-based reduction method is not used for the extraction of:A. Tin from SnO2 B. Iron from Fe2O3 C. Aluminium from Al 2O3 D. Magnesium from CaCO3,"AI has a greater affinity for oxygen, hence oxide is not reduced by carbon. Aluminium is extracted by the Hall-Heroult process where Al2O3 is mixed with fluorspar and cryolite and then subjected to fused electrolysis (non-aqueous). MgO and CaO (formed in the calcination from carbonates) are stable species and not reduced by carbon.",carbon reduction base
"The mole fraction of urea in an aqueous urea solution containing 900 g of water is 0.05. If the density of the solution is 1.2 g cm-3 , the molarity of urea solution is ________. (Given data: Molar masses of urea and water are 60 g mol–1 and 18 g mol–1, respectively) A. 2.98 M B. 1.98 M C. 1.06 M D. 3.98 M",Mole fraction of urea in aqueous solution = 0.05 0.05 = Moles of urea / Moles of urea + 900 / 18 0.05 (Moles of urea) + 2.5 = Moles of urea Moles of Urea = 2.63 moles Mass of urea = 2.63 × 60 = 158 gm Mass of solution = 158 + 900 = 1058 gm Density = 1.2 g cm3 Volume of solution = 1058 / 1.2 = 881.67 ml Molarity = nsolute / Vsolution(innL) × 1000 = 2.63 / 881.67 × 1000 = 2.98 ≃ 3 M,molarity volume mass
The molar volume of liquid benzene (density = 0.877g/ml -1 ) increases by a factor of 2750 as it vaporises at 20°C and that of liquid toluene (density = 0.867g mL -1 ) increases by afactor of 7720 at 20°C. A solution of benzene and toluene at 20°C has a vapour pressure of 46.0 torr. Find the mole fraction of benzene in the vapour above the solution.,"(i)Volume = No. of moles × molar mass / density (ii) PV = nRT or P = nRT/V Volume of 1 mole of liq. Benzene = 78 / 0.877 The volume of 1 mole of toluene. 92 / 0.867 In the vapour phase, At 20 oC, for 1 mole of benzene, Volume = 1 × 78 × 2750 / 0.877 = 244583.80 mL = 244.58 L Similarly for 1 mole of toluene, Volume = 1 × 92 / 0.867 × 7720 = 819192.61 mL = 819.199 L As we know that, PV = nrt For benzene, P o B = nRT/V = 1 ×0.0821 × 293 / 244.58 atm = 0.098 atm For toluene, P o T = nRT/V = 1 × 0.0825 × 293 / 819.19 atm = 0.029 atm P = P o B.XB + P o T.XT ∵ XB + XT = 1 ∴ XT = 1 - XB P = P o B.XB + P o T (1 – XB) Total vapour pressure = 46 torr = 46/760 = 0.060 atm Thus, 0.060 = 0.098 XB + 0.029 (1 - XB) ⇒ 0.060 = 0.098 XB + 0.029 – 0.029 XB ⇒ 0.031 = 0.069 XB ∴ XB = 0.031/0.069 = 0.45 (in liquid phase) XB + XT = 1 XT = 1 – 0.45 = 0.55 (in liquid phase) Also, P ’ B = P o B.XB = PX’B So, 0.098 × 0.045 = 0.060 × X ’ B X ’ B = 0.098 × 0.45 / 0.060 = 0.735 (in gas phase)",pressure volume ph mass
"For a solution formed by mixing liquids L and M, the vapour pressure of L plotted against the mole fraction of M in solution is shown in the following figure. Here xL and xM represent mole fractions of L and M, respectively, in the solution. The correct statement(s) applicable to this system is (are)","From the graph, it is clear that there is a positive deviation in the partial vapour pressure of L in solution to w.r.t pure L. Therefore option D is correct. When xL → 1, then Z will have a value equal to PL o (vapour pressure of pure L). Therefore option B is also correct. PL o = xL × PTotal so when xm = 0 xL = 1 PL o = 1 × PTotal Z in the given graph, so it obeys Raoult`s law",pressure ph graph plot
Mixture(s) showing positive deviation from Raoult's law at 35 oC is/are. A. Carbon tetrachloride + methanol B. Carbon disulphide + acetone C. Benzene + toluene D. Phenol + aniline,"When the intermolecular attraction between two components A and B in the mixture is the same as between A and A, or B and B, it is a case of an ideal solution. When the intermolecular attraction between A and B in a mixture is smaller than that between A and A, or B and B, the mixture is more vaporised, b.p is lowered. It is a case of positive deviation from Raoult’s law. When the intermolecular attraction between A and B is higher than that between A and A, or B and B, the mixture is less vaporised, b.p is increased. It is a case of negative deviation. (A) Methanol molecules CH3OH are hydrogen-bonded. In a mixture of CCl4 and CH3OH, the extent of H – bonding is decreased. The mixture is more vaporised thus, positive deviation from Raoult’s law. (B) Acetone molecules have higher intermolecular attraction due to dipole-dipole interaction. With CS2 , this interaction is decreased thus, positive deviation. (C) A mixture of benzene and toluene forms an ideal solution. (D) Phenol and ani...",carbon bond ph molecule hydrogen
"Benzene and naphthalene form an ideal solution at room temperature. For this process,the true statement(s) is (are) A. ΔGsystem is positive B. ΔSsystem is positive C. ΔSsurroundings = 0 D. ΔH = 0 Solution: (B, C and D)","According to Raoult's law, for an ideal solution ΔH = 0, ΔVmm = 0 From the relation ΔG = ΔH − TΔS Since ΔH=0 ∴ ΔG = −ve i.e. less than zero, and ΔSsys = +ve i.e. more than zero",ph temperature
"Pure water freezes at 273K and 1 bar. The addition of 34.5g of ethanol to 500g of water changes the freezing point of the solution. Use the freezing point depression constant of water as 2K kg mol -1 . The figures shown below represent plots of vapour pressure (V.P.) versus temperature (T). [molecular weight of ethanol is 46g mol -1 ] Among the following, the option representing the change in the freezing point is.","Depression in freezing point of ethanol and water solution: ∆Tf = iKfm = 1× 1 × 34.5 / 46 ÷ 500 / 1000 = 3K So the freezing point of the solution is 270 K In options b and d, the freezing point shown is 271 K so both are incorrect Between option a and c, the vapour pressure of the solution is decreasing with temperature after the freezing point in option a so it is also incorrect while option c seems to be the only possible curve for the given conditions.",pressure temperature plot
". If the freezing point of a 0.01 molal aqueous solution of a cobalt(III) chloride-ammonia complex (which behaves as a strong electrolyte) is –0.0558°C, the number of chloride(s) in the coordination sphere of the complex is. [Kf of water = 1.86 K kg mol -1 ]",ΔTf = Kff × i × m 0.0558 = 1.86 × i × 0.01 i = 3 Given complex behaves as a strong electrolyte α = 100% n = 3 (no. of particles given by complex) ∴ complex is [Co(NH3 )5Cl]Cl2 no. of Cl− ions in the coordination sphere of the complex = 1,ph complex coordination
"MX2 dissociates into M2+ and Xө ion in an aqueous solution, with a degree of dissociation (α) (α) of 0.5. The ratio of the observed depression of freezing point of the aqueous solution to the value of the depression of freezing point in absence of ionic dissociation.","MX2 ⇌ M2+ + 2X - 1−α α 2α Where α is the degree of dissociation. I = 1 + 2α {α = 0.5} Therefore, i = 2.",ratio ionic
"On dissolving 0.5 g of non-volatile, non-ionic solute to 39 g of benzene, its vapour pressure decreases from 650 mm of Hg to 640 mm of Hg. The depression of the freezing point of benzene (in K) upon addition of the solute is ___. [Given data: Molar mass and molar freezing point depression of benzene is 78 g mol -1 and 5.12 K kg mol -1 ]",PO − PS / PS = nsolute / nsolvent 650 − 640 / 640 = 1 × 0.5 × 78 / M × 39 ⇒ Msolute = 64gm △Tf = Kf × m = 5.12 × 0.5 × 1000 / 64 × 39 ⇒△Tf = 1.02.,pressure ionic mass
The plot given below shows P–T curves (where P is the pressure and T is the temperature) for two solvents X and Y and isomolal solutions of NaCl in these solvents. NaCl completely dissociates in both solvents,1 = 2Kb(y)m Kb(x) / Kb(y) = 2 ΔTb(x) = (1 − α1 / 2) Kb(x)m 2S ⇌ S2 1−α α / 2 ΔTb(y) = (1 − α1 / 2) Kb(y)m i = 1 − α + α / 2 3 = Tb(x) / Tb(y) = (1 − α1 / 2) ÷ Kb(x) / (1 − 0.7 / 2) Kb(Y) i = 1 − α / 2 3 = (1 − α1 / 2) × 2 / (1 − 0.7 / 2) (1 − α1 / 2) = 3 × 0.65 / 2 = 1.5 × 0.65 α1 = 0.05,pressure temperature plot
"Methylene blue from its aqueous solution is adsorbed on activated charcoal at 25 oC. For this process, the correct statement is: A. The adsorption requires activation at 25 oC B. The adsorption is accompanied by a decrease in enthalpy C. Athe adsorption increases with increases in temperature D. The adsorption is irreversible",The adsorption is accompanied by a decrease in enthalpy. Adsorption of methylene blue on activated charcoal is physical adsorption hence it is characterized by a decrease in enthalpy. Hence (b) is correct.,ph temperature
"When O2 is adsorbed on a metallic surface, electron transfer occurs from the metal to O2 . The TRUE statement(s) regarding this adsorption is(are) A. O2 is physisorbed B. Heat is released C. Occupancy of π2p of O2 is increased D. Bond length of O2 is increased","When O2 is adsorbed on a metallic surface, there is a transfer of electrons from the metal to O2 . Now if we look at the MO configuration of O2 it is as follows; KK(σ2s) 2 (σ∗2s) 2 (σ2px) 2 (π2py) 2 (π2pz) 2 (π∗2py) 1 (π∗2pz) 1 On the other hand, the MO configuration of O2 - is; KK(σ2s) 2 (σ∗2s) 2 (σ2px) 2 (π2py) 2 (π2pz) 2 (π∗2py) 1 (π∗2pz)(A) Oxygen is chemisorbed. So, statement (A) is false. (B) Chemisorption is an exothermic process. Heat is released. Statement (B) is true. (C) The occupancy of π2p * of O2 is increased. The added electron enters π2p * MO. Hence, statement (C) is also true. (D) The bond order is decreased (as the electron enters antibonding MO) and the bond length of O2 is increased. Thus, the statement (D) is true.",electron thermodynamics bond ratio heat ph atomic_structure
"Match the catalysts to the correct processes. Catalyst Process (A) TiCl3 (i) Wacker process (B) PdCl2 (ii) Ziegler- Natta polymerisation (C) CuCl2 (iii) Contact process (D) V2O5 (iv) Deacon's process A. (A) - (iii), (B) - (ii), (C) - (iv), (D) - (i) B. (A) - (ii), (B) - (i), (C) - (iv), (D) - (iii) C. (A) - (ii), (B) - (iii), (C) - (iv), (D) - (i) D. (A) - (iii), (B) - (i), (C) - (ii), (D) - (iv)","A Ziegler–Natta catalyst, named after Karl Ziegler and Giulio Natta, is a catalyst used in the synthesis of polymers of 1-alkenes (alpha-olefins). The catalyst TiCl3 is used for Ziegler - Natta polymerization. The Wacker Oxidation is an industrial process, which allows the synthesis of ethanal from ethene by palladium-catalyzed oxidation with oxygen. The catalyst PdCl2 is used for the Wacker process. The Deacon process is a process used during the manufacture of alkalis (the initial end product was sodium carbonate) by the Leblanc process. The catalyst CuCl2 is used for Deacon's process.The contact process is the current method of producing sulfuric acid in the high concentrations needed for industrial processes. The catalyst V2O5 is used for the Contact process. Hence, option B is correct.",carbon acid current ratio polymer ph concentration oxidation catalyst
Rate of physisorption increases with: A. Decrease in temperature B. Increase in temperature C. Decrease in pressure D. Decrease in surface area,"We have seen that physisorption usually increases with an increase in pressure. And like all adsorption processes, physisorption would increase with an increase of surface area. Since adsorption in general or physisorption is an exothermic process, we would see a decrease in physisorption with an increase in temperature. So the reverse would be true. Therefore, physisorption would increase with a decrease in temperature.",pressure ph temperature
"Among the following, the surfactant that will form micelles in aqueous solution at the lowest molar concentration at ambient conditions is: A. CH3 (CH2 )15N + (CH3 )3Br - B. CH3 (CH2 )11OSO - 3Na + C. CH3 (CH2 )6COO -Na + D. CH3 (CH2 )11N + (CH3 )3Br","Among the given options, the surfactant that will form micelles in an aqueous solution at the lowest molar concentration at ambient conditions is CH3 (CH2 )15N + (CH3 )3Br - . So, larger the hydrophobic fragment of surfactant easier will be the micellisation and smaller the critical micelle concentration",ratio ph concentration
". The qualitative sketches I, II and III given below show the variation of surface tension with a molar concentration of three different aqueous solutions of KCl, CH3OH and CH3 (CH2 )111OSO3 -Na + at room temperature. The correct assignment of the sketches is: A. I:KCl; II:CH3OH; III:CH3 (CH2 )11OSO3 - Na + B. I:CH3 (CH2 )11OSO3 - Na + : II:CH3OH; III:KCl C. I:KCl; II:CH3 (CH2 )11OSO3 - Na + ; III:CH3OH D. I:CH3OH; II:KCl; III:CH3 (CH2 )11OSO3 - Na +","A solution of CH3OH and water shows positive deviation from Raoult's law, it means by adding CH3OH intermolecular force of attraction decreases and hence surface tension decreases. By adding KCl in water, the intermolecular force of attraction increases slightly, so surface tension increases by a small value. By adding surfactants like CH3 (CH2 )11OSO3 - Na + surface tension decreases rapidly and after forming micelle it slightly increases.",force temperature ratio concentration
"The correct statement(s) about surface properties is(are): A. Adsorption is accompanied by a decrease in enthalpy and a decrease in entropy of the system B. The critical temperatures of ethane and nitrogen are 563 K and 126 K, respectively. The adsorption of ethane will be more than that of nitrogen on the same amount of activated charcoal at a given temperature C. Cloud is an emulsion type of colloid in which liquid is dispersed phase and gas is dispersion medium D. Brownian motion of colloi...","A. Since adsorption is spontaneous, ΔG for the process is – ve. Adsorption is accompanied by a decrease in randomness. Therefore ΔS and TΔS for the process is also negative. As ΔS for the process is –ve and the process is spontaneous, ΔH for the process has to be –ve i.e, enthalpy of the system decreases. B. Under a given set of conditions of temperature and pressure the easily liquefiable gases e.g. C2H6 , NH3 and HCl are adsorbed more than the gases like N2 , H2 and CO. The ease with which a gas can be liquefied is determined by its critical temperature. The critical temperature is the minimum temperature above which a gas can be liquified. This implies that gases with high critical temperature values can be easily liquified as compared to gases with low critical temperature values.",pressure ph temperature
8. Choose the correct reason(s) for the stability of the lyophobic colloidal particles. A. Preferential adsorption of ions of their surface from the solution B. Preferential adsorption of solvent on their surface from the solution C. Attraction between different particles having opposite charges on their surface D. Potential difference between the fixed layer and the diffused layer of opposite charges around the colloidal particles,"Lyophobic sol gets stabilised by preferential adsorption of ions on their surface, thus developing a potential difference between the fixed layer and the diffused layer. Thus, options (A) and (D) are correct.",ph potential
"The correct statement(s) pertaining to the adsorption of a gas on a solid surface is (are); A. Adsorption is always exothermic B. Physisorption may transform into chemisorption at high temperatures C. Physisorption increases with increasing temperature but chemisorption decreases with increasing temperature D. Chemisorption is more exothermic than physisorption; however, it is very slow due to the higher energy of activation",A. Adsorption is always exothermic (factual statement). B. It is also a factual statement. C. The statement is wrong. Physisorption decreases with an increase in temperature. But chemisorption first increases with an increase in temperature and then decreases. The effect is called activated adsorption.,energy ph temperature
"The given graph/data I, II, III and IV represent general trends observed for different physisorption and chemisorption processes under mild conditions of temperature and pressure. Which of the following choice(s) about I, II, III and IV is (are) correct? A. I is physisorption and II is chemisorption B. I is physisorption and III is chemisorption C. IV is chemisorption and II is chemisorption D. IV is chemisorption and III is chemisorption","Graph I highlights physisorption wherein absorbents are bonded to adsorbate through weak van der Waals’ force. Increasing temperature increases the kinetic energy of adsorbed particles increasing the rate of desorption, hence adsorption decreases. Graph II shows chemisorption because in chemisorption, the amount of adsorption increase with the increase in temperature. Graph - IV represents chemisorption as the graph is a characteristic of bonding forces. Attractive forces dominate until bond formation. When we try to reduce the distance after this, repulsive forces dominate.",pressure bond force ph graph energy temperature kinetic
"A closed tank has two compartments A and B, both filled with oxygen (assumed to be ideal gas). The partition separating the two compartments is fixed and is a perfect heat insulator (Figure 1). If the old partition is replaced by a new partition that can slide and conduct heat but does NOT allow the gas to leak figure 2), the volume(in m3 ) of compartment A after the system attains equilibrium is _________.","We know that the ideal gas equation is, PV = nRT ⇒ n = PV / RT Given: If we look at Figure 1, in compartment A the pressure is 5 bar, the volume is 1 m3 , and temperature 400 K. So we can write it as: PA = 5 VA = 1 TA = 400 ⇒ nA = 5 × 1 / 400 × R = 1 / 80 R Likewise in compartment B, the pressure is 1 bar, the volume is 3 m3 , and temperature 400 K. We can write it as: PB = 1 VB = 3 TB = 300 ⇒ nB = 1 × 3 / 300 × R = 1 / 100 R After the system attains equilibrium; PA / TA = PB / TB ⇒ nA × R / VA = nB × R / VB ⇒ (1 / 80R) / VA × R = (1 / 100R) / VB × R ⇒ VB = ⅘ VA ……...(i) Now, the total volume of the containers. (V) = VA + VB = 1 + 3 = 4 ⇒ VA + VB = 4 ……...(ii) Now, from equations (i) and (ii), we get, VA + ⅘ VA = 4 ⇒ 9 / 5 VA = 4 ⇒ VA = 2.22 m3",thermodynamics pressure equation heat equilibrium chemical_equilibrium volume temperature
"The surface of copper gets tarnished by the formation of copper oxide. N2 gas was passed to prevent the oxide formation during heating of copper at 1250 K. However, the N2 gas contains 1 mole % of water vapour as an impurity. The water vapour oxidises copper as per the reaction given below: 2Cu(s) + H2O(g) → Cu2O(s) + H2 (g) ρH2 is the minimum partial pressure of H2 (in a bar) needed to prevent the oxidation at 1250 K. The value of ln(ρH2 ) is ___. (Given : total pressure = 1 bar, R (universa...","2Cu(s) + ¼ O2 (g) → Cu2O(s) ΔG o = −78 kJ [H2 (g) + ½ O2 → H2O(g) ΔG o = −178kJ] × (−1) Hence, 2Cu(s) + H2O(g) → Cu2O + H2 (g) ΔG o = +100kJ ΔG = ΔG o + RTln Q 0 = +100 + 8 / 1000 × 1250 lnρ × ρH2 / H2O − 100 × 1000 / 8 = 1250ln ρH2 / (1001 × 1) ∴ ln ρH2 = −14.6",thermodynamics pressure heat energy oxidation reaction
"The diffusion coefficient of an ideal gas is proportional to its mean free path and mean speed. The absolute temperature of an ideal gas is increased 4 times and its pressure is increased 2 times. As a result, the diffusion coefficient of this gas increases x times. The value of x is.","Let Di = initial value and Df = final value Di / Df = λi √vi / λf √vf Di / Df = Ti / Pi √Ti / M ÷ Tf / Pf √Tf / M Di / Df = Pf .Ti √Ti ÷ Pi .Tf √Tf Di / Df = 2Pi .Ti √Ti ÷ Pi .4Ti √4Tf Di / Df = 2 / 8 Di / Df = ¼ Df = 4Di Therefore, x = 4",pressure temperature proportion
